hit_rate,player,defender
1.0,draymond green,"Whiteside, Hassan"
1.0,thabo sefolosha,"Butler, Rasual"
1.0,kyle korver,"Muhammad, Shabazz"
1.0,jeff teague,"Jefferson, Al"
1.0,john wall,"Rubio, Ricky"
1.0,omer asik,"Bogut, Andrew"
1.0,anthony davis,"Barnes, Matt"
1.0,dante cunningham,"Kidd-Gilchrist, Michael"
1.0,kyle lowry,"Boozer, Carlos"
1.0,kemba walker,"Asik, Omer"
1.0,kemba walker,"Brown, Shannon"
1.0,gordon hayward,"Green, Willie"
1.0,dante exum,"Granger, Danny"
1.0,dante exum,"Diaw, Boris"
1.0,jon ingles,"Smart, Marcus"
1.0,jeremy lin,"Gay, Rudy"
1.0,wesley johnson,"Whiteside, Hassan"
1.0,leandro barbosa,"Fredette, Jimmer"
1.0,marreese speights,"Snell, Tony"
1.0,andre iguodala,"Cunningham, Dante"
1.0,dennis schroder,"Lawson, Ty"
1.0,mike scott,"Ibaka, Serge"
1.0,kris humphries,"Gibson, Taj"
1.0,garrett temple,"Thompson, Tristan"
1.0,rasual butler,"Splitter, Tiago"
1.0,nene hilario,"Teague, Jeff"
1.0,omer asik,"Kaman, Chris"
1.0,jrue holiday,"Randolph, Zach"
1.0,luke babbitt,"Conley, Mike"
1.0,anthony davis,"Gay, Rudy"
1.0,jimmer dredette,"Hill, Solomon"
1.0,michael kidd-gilchrist,"Plumlee, Mason"
1.0,gordon hayward,"Jefferson, Richard"
1.0,derrick favors,"Daniels, Troy"
1.0,trey burke,"Wiggins, Andrew"
1.0,harrison barnes,"Grant, Jerami"
1.0,kent bazemore,"Diaw, Boris"
1.0,otto porter,"Haywood, Brendan"
1.0,jrue holiday,"Scola, Luis"
1.0,jrue holiday,"James, LeBron"
1.0,gary neal,"Pachulia, Zaza"
1.0,lance stephenson,"Thornton, Marcus"
1.0,gordon hayward,"Muhammad, Shabazz"
1.0,dante exum,"Walker, Kemba"
1.0,trey burke,"Dellavedova, Matthew"
1.0,carlos boozer,"Sefolosha, Thabo"
1.0,carlos boozer,"Gordon, Eric"
1.0,ronnie price,"Holiday, Jrue"
1.0,wesley johnson,"Green, Gerald"
1.0,nick young,"Deng, Luol"
1.0,harrison barnes,"Mahinmi, Ian"
1.0,al horford,"Rondo, Rajon"
1.0,thabo sefolosha,"Hairston, PJ"
1.0,kent bazemore,"Gasol, Pau"
1.0,otto porter,"Haslem, Udonis"
1.0,omer asik,"Allen, Tony"
1.0,jimmer dredette,"Humphries, Kris"
1.0,cody zeller,"Anthony, Joel"
1.0,gerald henderson,"James, LeBron"
1.0,lance stephenson,"Speights, Marreese"
1.0,gordon hayward,"Korver, Kyle"
1.0,trey burke,"Dedmon, Dewayne"
1.0,ed davis,"Kaman, Chris"
1.0,ronnie price,"Walker, Kemba"
1.0,wayne ellington,"Hansbrough, Tyler"
1.0,andrew bogut,"Chalmers, Mario"
1.0,paul millsap,"Roberts, Brian"
1.0,nene hilario,"Moore, E'Twaun"
1.0,john wall,"Gordon, Eric"
1.0,ryan anderson,"Gordon, Ben"
1.0,tyreke evans,"Barnes, Harrison"
1.0,kyle lowry,"West, David"
1.0,brian roberts,"Mills, Patty"
1.0,brian roberts,"Paul, Chris"
1.0,cody zeller,"Griffin, Blake"
1.0,gary neal,"Ginobili, Manu"
1.0,gordon hayward,"Allen, Tony"
1.0,jon ingles,"Williams, Derrick"
1.0,rudy gobert,"Leuer, Jon"
1.0,ronnie price,"Napier, Shabazz"
1.0,marreese speights,"Thomas, Malcolm"
1.0,kent bazemore,"Cherry, Will"
1.0,otto porter,"Wear, Travis"
1.0,bradley beal,"Young, Thaddeus"
1.0,rasual butler,"McGee, JaVale"
